Title,Message
Sale Triggerred inaction,"Dear Customer,\nURGENT NOTICE. {} has been triggered in your loan account {} due to inaction on your part to mitigate margin shortfall.The lender will {} required collateral and deposit the proceeds in your loan account to fulfill the shortfall. Kindly check the app for details. Spark Loans"
"Payment credited to account
(loan transaction- 251)","Dear Customer,\nYou loan account {} has been credited by payment of Rs. {} . Your loan balance is Rs. {}. {} Spark Loans"
"Partial withdrawal successful 
(loan transaction - 327)","Dear Customer,\nYour withdrawal request for Rs. {requested} has been partially executed and Rs. {disbursed} transferred to your designated bank account. Your loan account has been debited for Rs. {disbursed} . If this is not you report immediately on 'Contact Us' in the app -Spark Loans"
"Withdrawal rejected
(loan transaction - 525)","Dear Customer,\nSorry! Your withdrawal request has been rejected by our lending partner for technical reasons. We regret the inconvenience caused. Please try again after sometime or reach out to us through 'Contact Us' on the app -Spark Loans"
"Withdrawal succesful
(loan transcation - 310)","Dear Customer,\nYour withdrawal request has been executed and Rs. {amount} transferred to your designated bank account. Your loan account has been debited for Rs. {disbursed} . Your loan balance is Rs. {balance}. {date_time}. If this is not you report immediately on 'Contact Us' in the app -Spark Loans"
"Ckyc Approved
(user kyc - 40)",Your KYC Request has been rejected due to mismatch in details. Please visit spark.loans in order to reapply.
"Ckyc Rejected 
(user kyc - 48)",Your KYC Request has been rejected due to mismatch in details. Please visit spark.loans in order to reapply.
"Bank Approved
(user kyc - 76)",Your Bank details request has been approved; please visit spark.loans to continue the further journey to avail loan.
"Bank Rejected
(user kyc - 88)",Your Bank request has been rejected due to mismatch in the details; please visit spark.loans in order to reapply
"user Kyc
(user-558)","Dear Customer, \nCongratulations! \nYour KYC verification is completed. -Spark Loans"
"Lien unsuccessful
(loan application- 250)","Dear Customer,\nSorry! Your loan application was turned down since the requested loan amount is not in the range of lender's minimum sanction limit (Rs.{}) and maximum sanction limit (Rs.{}) criteria. We regret the inconvenience caused. Please try again with the expected criteria or reach out to us through 'Contact Us' on the app -Spark Loans"
"Loan Increase application reject 
(loan application- 1780)","Dear Customer,\nSorry! Your Increase loan application was turned down since the {} was not successful due to technical reasons. We regret the inconvenience caused. Please try again after sometime or reach out to us through 'Contact Us' on the app -Spark Loans"
"Pledge rejected 
(loan application - 1787)","Dear Customer,\nSorry! Your loan application was turned down since the {} was not successful due to technical reasons. We regret the inconvenience caused. Please try again after sometime or reach out to us through 'Contact Us' on the app -Spark Loans"
"Loan Increase application accepted 
(loan application -1810)","Dear Customer,\nCongratulations! Your Increase loan application has been accepted. Kindly check the app for details under e-sign banner on the dashboard. Please e-sign the loan agreement to avail the loan now. For any help on e-sign please view our tutorial videos or reach out to us under ""Contact Us"" on the app -Spark Loans"
"Pledge accepted 
(loan application - 1815)","Dear Customer,\nCongratulations! Your loan application has been accepted. Kindly check the app for details under e-sign banner on the dashboard. Please e-sign the loan agreement to avail the loan now. For any help on e-sign please view our tutorial videos or reach out to us under ""Contact Us"" on the app -Spark Loans"
"Increase loan application approved
(loan application - 1834)","Dear Customer,\nCongratulations! Your loan limit has been successfully increased. Kindly check the app. You may now withdraw funds as per your convenience. -Spark Loans"
"Loan approved
(loan application- 1839)","Dear Customer,\nCongratulations! Your loan account is open. Kindly check the app. You may now withdraw funds as per your convenience. -Spark Loans"
"Loan rejected
(loan application - 1859)","Dear Customer,\nSorry! Your loan application was turned down due to technical reasons. We regret the inconvenience caused. Please try again after sometime or reach out to us through 'Contact Us' on the app -Spark Loans"
"Loan Increase application partial accepted 
(loan_application - 1889 )","Dear Customer,\nCongratulations! Your {} request was successfully considered and was partially accepted for Rs. {} due to technical reasons. Kindly check the app for details under e-sign banner on the dashboard. Please e-sign the loan agreement to avail the loan now. -Spark Loans"
"E-sign was successful
(loan_application -1872)","Dear Customer,\nYour E-sign process is completed. You shall soon receive a confirmation of loan approval. Thank you for your patience. - Spark Loans"
"Sale triggerred immediate
(loan margin shortfall- 328)","Dear Customer,\nURGENT NOTICE. There is a margin shortfall in your loan account which exceeds {}% of portfolio value. Therefore {} has been triggered in your loan account {}.The lender will {} required collateral and deposit the proceeds in your loan account to fulfill the shortfall. Kindly check the app for details. Spark Loans"
"Margin shortfall – Action required after hours
(loan margin shortfall - 347)","Dear Customer,\nURGENT ACTION REQUIRED. There is a margin shortfall in your loan account {}. Please check the app and take an appropriate action within {} hours; else {} will be triggered. Spark Loans"
"Sale triggerred inaction
(loan margin shortfall -546)","Dear Customer,\nURGENT NOTICE. {} has been triggered in your loan account {} due to inaction on your part to mitigate margin shortfall.The lender will {} required collateral and deposit the proceeds in your loan account to fulfill the shortfall. Kindly check the app for details. Spark Loans"
"Sale triggerred completed
(sell collateral application -547)","Dear Customer,\n{} initiated by the lending partner for your loan account {} is now completed .The {} proceeds have been credited to your loan account and collateral value updated. Please check the app for details. Spark Loans"
"Sell request executed
(sell collateral application -566)","Dear Customer,\nCongratulations! Your {} request has been successfully executed and sale proceeds credited to your loan account. Kindly check the app for details -Spark Loans"
"Application for top-up accepted
(top-up application- 533)","Dear Customer,\nCongratulations! Your Top Up application has been accepted. Kindly check the app for details under e-sign banner on the dashboard. Please e-sign the loan agreement to avail the loan now. For any help on e-sign please view our tutorial videos or reach out to us under ""Contact Us"" on the app -Spark Loans"
"Loan account topped up
(top-up application-542)","Dear Customer,\nCongratulations! Your loan account has been topped up. Please check the app for details. -Spark Loans"
"Top Up rejected
(top-up application-552)","Dear Customer,\nSorry! Your {} request was turned down due to technical reasons. Please try again after sometime or reach out to us through 'Contact Us' on the app -Spark Loans"
"Unpledge application accepted
(unpledge application -385)","Dear Customer,\nCongratulations! Your {} request has been successfully executed. Kindly check the app now. -Spark Loans"
"Unpledge application rejected
(unpledge application -406)",Your {msg_type} request was rejected. There is a margin shortfall. You can send another {msg_type} request when there is no margin shortfall.
"Unpledge application rejected
(unpledge application -410)","Dear Customer,\nSorry! Your {} application was turned down due to technical reasons. Please try again after sometime or reach us through 'Contact Us' on the app -Spark Loans"
"User token 
(user token -110)","Dear Customer, Your {token_type} for Spark Loans is {token}. Do not share your {token_type} with anyone. Your OTP is valid for 10 minutes -Spark Loans"
